timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2019-04-30,241.94,244.21,237.1,238.69,238.69,9135177,0,1
2019-04-29,235.49,243.86,232.49,241.49,241.49,16110310,0,1
2019-04-26,246,246,231.18,235.04,235.04,21511893,0,1
2019-04-25,253.35,258.5,246.11,247.56,247.56,20840609,0,1
2019-04-24,264.35,265.22,258.18,258.69,258.69,8402576,0,1
2019-04-23,259.66,265.44,255.94,263.98,263.98,10327138,0,1
2019-04-22,268.67,269.2,262.62,262.91,262.91,11579075,0,1
2019-04-18,271.58,274.83,270.06,273.26,273.26,5638049,0,1
2019-04-17,274.2,274.75,268.54,271.22,271.22,4983666,0,1
2019-04-16,265.78,274.95,265.15,273.31,273.31,6992630,0,1
2019-04-15,268.16,268.16,258.73,266.38,266.38,9679588,0,1
2019-04-12,269.74,271.9,266.83,267.68,267.68,6564720,0,1
2019-04-11,267.69,270.4,266.26,268.45,268.45,8793148,0,1
2019-04-10,277.22,277.77,273,276.05,276.05,6418263,0,1
2019-04-09,271.89,274.86,269.75,272.4,272.4,5604380,0,1
2019-04-08,277.92,281.03,270.53,273.15,273.15,9841034,0,1
2019-04-05,269.32,275.85,266.18,274.96,274.96,12426548,0,1
2019-04-04,261.28,270.96,260.77,267.8,267.8,21279430,0,1
2019-04-03,288.51,296.1,287.9,291.76,291.76,7629928,0,1
2019-04-02,288,289.24,284.03,285.85,285.85,5128800,0,1
2019-04-01,283.83,289.18,281.65,289.18,289.18,7644690,0,1
2019-03-29,278.09,280.1,274.85,279.75,279.75,5703218,0,1
2019-03-28,276.48,280.2,275.11,278.59,278.59,6409186,0,1
2019-03-27,269.38,275.35,268.27,274.85,274.85,8442769,0,1
2019-03-26,265.59,269.98,265.58,267.85,267.85,6995474,0,1
2019-03-25,259.5,262.74,254.77,260.49,260.49,9552220,0,1
2019-03-22,272.27,272.62,264.09,264.53,264.53,8339197,0,1
2019-03-21,272.56,276.38,268.65,274.05,274.05,5685375,0,1
2019-03-20,269.2,274.97,266.37,273.5,273.5,6684374,0,1
2019-03-19,268.17,273.03,263.61,267.38,267.38,11358617,0,1
2019-03-18,276.09,277.72,267.38,269.52,269.52,9740115,0,1
2019-03-15,283,283.25,274.48,275.58,275.58,13059038,0,1
2019-03-14,292.75,295.35,288.36,289.96,289.96,6722172,0,1
2019-03-13,284.06,291.88,282.76,288.91,288.91,6624964,0,1
2019-03-12,286.05,287.55,281.2,283.37,283.37,7171611,0,1
2019-03-11,283.5,291.13,280.72,290.86,290.86,6871661,0,1
2019-03-08,276.05,285.25,276.05,284.13,284.13,8480607,0,1
2019-03-07,279.21,284.33,274.46,276.6,276.6,8918267,0,1
2019-03-06,277.9,281.19,274.5,276.23,276.23,10024656,0,1
2019-03-05,283.44,283.89,270.12,276.64,276.64,18191151,0,1
2019-03-04,297,298.24,282.84,285.3,285.3,16469678,0,1
2019-03-01,306.96,306.96,292.09,294.66,294.66,22085765,0,1
2019-02-28,318.71,319.99,311,319.81,319.81,8861651,0,1
2019-02-27,301.56,316.01,300.56,314.87,314.87,10849445,0,1
2019-02-26,292.14,301.94,289.18,297.81,297.81,8053084,0,1
2019-02-25,298.63,302.8,297.07,298.7,298.7,5938485,0,1
2019-02-22,293.33,296.28,292.25,294.69,294.69,5478196,0,1
2019-02-21,302.47,303.06,290.58,291.24,291.24,8639239,0,1
2019-02-20,304.18,306,299,302.53,302.53,6496939,0,1
2019-02-19,307.4,311.4,305.56,305.64,305.64,3982140,0,1
2019-02-15,304.3,307.95,304.1,307.92,307.92,3730769,0,1
2019-02-14,304.03,306.66,301.05,303.83,303.83,4955175,0,1
2019-02-13,312.51,312.73,305.62,308.11,308.11,4942845,0,1
2019-02-12,315.48,317.93,309.62,311.81,311.81,5218091,0,1
2019-02-11,310.76,318.27,310.76,312.85,312.85,6752043,0,1
2019-02-08,307.2,307.2,298.69,305.8,305.8,5689246,0,1
2019-02-07,313.05,314.29,303.11,307.6,307.6,6325922,0,1
2019-02-06,319.53,323.67,315.62,317.21,317.21,4847221,0,1
2019-02-05,313.72,322.38,313.72,321.26,321.26,6525354,0,1
2019-02-04,312.34,315.26,302.26,312.88,312.88,7084568,0,1
2019-02-01,305.56,316,303.81,312.38,312.38,7070399,0,1
2019-01-31,300.3,311.5,294.4,306.97,306.97,11913081,0,1
2019-01-30,301.49,308.84,298.6,308.83,308.83,8792595,0,1
2019-01-29,294,298.25,291.92,297.47,297.47,4409254,0,1
2019-01-28,292.58,297.41,287.83,296.29,296.29,6188672,0,1
2019-01-25,295,298.4,289.6,296.93,296.93,6925546,0,1
2019-01-24,283.56,293.46,280.28,291.7,291.7,7659966,0,1
2019-01-23,293.74,294.24,282.24,287.54,287.54,11920522,0,1
2019-01-22,305.01,307.88,295.68,298.92,298.92,11570064,0,1
2019-01-18,326.29,326.29,300.01,302.25,302.25,22761582,0,1
2019-01-17,346.26,351.36,344.57,347.36,347.36,3545683,0,1
2019-01-16,344.16,351.93,344.13,346.02,346.02,4584663,0,1
2019-01-15,335.16,348.8,335,344.21,344.21,5924618,0,1
2019-01-14,341.75,342.15,334.2,334.4,334.4,5115404,0,1
2019-01-11,341.29,348.36,339.27,347.23,347.23,4898645,0,1
2019-01-10,333.68,345.3,332.1,345,345,5852190,0,1
2019-01-09,335.72,343.5,331.6,338.49,338.49,5273982,0,1
2019-01-08,341.23,343.67,327.23,335.29,335.29,6617144,0,1
2019-01-07,321.73,336.53,318.36,334.97,334.97,7311147,0,1
2019-01-04,305.53,317.79,303.34,317.69,317.69,7122126,0,1
2019-01-03,308.86,308.86,297.5,300.33,300.33,6738267,0,1
2019-01-02,305.51,314.8,298.93,310.08,310.08,10897133,0,1
2018-12-31,337.1,339.02,325.3,332.89,332.89,6024483,0,1
2018-12-28,322.85,336,318.41,333.98,333.98,9020862,0,1
2018-12-27,318.01,321.88,301.63,316.13,316.13,8268865,0,1
2018-12-26,302.79,326.76,294.11,325.91,325.91,7824393,0,1
